iter	Passed	Remaining
398	4401	6630
399	4402	6604
400	4403	6577
401	4404	6551
402	4404	6525
403	4405	6498
404	4405	6472
405	4406	6446
406	4407	6421
407	4407	6395
408	4408	6369
409	4408	6344
410	4409	6319
411	4409	6293
412	4410	6268
413	4411	6244
414	4412	6219
415	4412	6194
416	4413	6170
417	4414	6146
418	4415	6122
419	4415	6097
420	4416	6073
421	4416	6049
422	4417	6025
423	4417	6001
424	4418	5978
425	4419	5954
426	4419	5931
427	4420	5907
428	4420	5884
429	4421	5861
430	4422	5838
431	4422	5815
432	4423	5792
433	4423	5769
434	4424	5746
435	4425	5724
436	4425	5701
437	4426	5679
438	4426	5657
439	4427	5635
440	4428	5613
441	4428	5591
442	4429	5569
443	4430	5547
444	4430	5526
445	4431	5504
446	4432	5483
447	4432	5461
448	4433	5440
449	4433	5419
450	4434	5398
451	4435	5377
452	4435	5356
453	4436	5335
454	4436	5314
455	4437	5293
456	4438	5273
457	4438	5252
458	4439	5232
459	4440	5212
460	4440	5192
461	4441	5171
462	4441	5151
463	4442	5131
464	4443	5112
465	4443	5092
466	4444	5072
467	4445	5053
468	4445	5033
469	4446	5014
470	4446	4994
471	4447	4975
472	4448	4956
473	4448	4936
474	4449	4917
475	4449	4898
476	4450	4879
477	4451	4860
478	4451	4842
479	4452	4823
480	4452	4804
481	4453	4786
482	4453	4767
483	4454	4749
484	4455	4730
485	4455	4712
486	4456	4694
487	4456	4676
488	4457	4658
489	4458	4640
490	4458	4622
491	4459	4604
492	4459	4586
493	4460	4568
494	4461	4551
495	4461	4533
496	4462	4516
497	4463	4498
498	4463	4481
499	4464	4464
500	4464	4446
501	4465	4429
502	4466	4412
503	4466	4395
504	4467	4378
505	4467	4361
506	4468	4345
507	4469	4328
508	4469	4311
509	4470	4294
510	4470	4278
511	4471	4261
512	4472	4245
513	4472	4229
514	4473	4212
515	4474	4196
516	4474	4180
517	4475	4164
518	4475	4148
519	4476	4132
520	4477	4116
521	4477	4100
522	4478	4084
523	4478	4068
524	4479	4052
525	4480	4037
526	4480	4021
527	4481	4006
528	4481	3990
529	4482	3975
530	4483	3959
531	4483	3944
532	4484	3929
533	4485	3913
534	4485	3898
535	4486	3883
536	4486	3868
537	4487	3853
538	4488	3838
539	4488	3823
540	4489	3809
541	4490	3794
542	4490	3779
543	4491	3764
544	4492	3750
545	4492	3735
546	4493	3721
547	4493	3706
548	4494	3692
549	4495	3677
550	4495	3663
551	4496	3649
552	4496	3634
553	4497	3620
554	4498	3606
555	4498	3592
556	4499	3578
557	4499	3564
558	4500	3550
559	4501	3536
560	4501	3522
561	4502	3508
562	4502	3495
563	4503	3481
564	4504	3467
565	4504	3454
566	4505	3440
567	4506	3427
568	4506	3413
569	4507	3400
570	4508	3387
571	4508	3373
572	4509	3360
573	4510	3347
574	4510	3334
575	4511	3320
576	4512	3307
577	4512	3294
578	4513	3281
579	4513	3268
580	4514	3255
581	4515	3242
582	4515	3229
583	4516	3217
584	4517	3204
585	4517	3191
586	4518	3178
587	4518	3166
588	4519	3153
589	4520	3141
590	4520	3128
591	4521	3116
592	4522	3103
593	4523	3091
594	4523	3079
595	4524	3066
596	4524	3054
597	4525	3042
598	4526	3030
599	4526	3017
600	4527	3005
601	4528	2993
602	4528	2981
603	4529	2969
604	4529	2957
605	4530	2945
606	4531	2933
607	4531	2921
608	4532	2909
609	4532	2898
610	4533	2886
611	4534	2874
612	4534	2862
613	4535	2851
614	4536	2839
615	4536	2828
616	4537	2816
617	4538	2805
618	4538	2793
619	4539	2782
620	4539	2770
621	4540	2759
622	4541	2748
623	4541	2736
624	4542	2725
625	4543	2714
626	4543	2703
627	4544	2691
628	4544	2680
629	4545	2669
630	4546	2658
631	4546	2647
632	4547	2636
633	4548	2625
634	4548	2614
635	4549	2603
636	4549	2592
637	4550	2581
638	4551	2571
639	4551	2560
640	4552	2549
641	4552	2538
642	4553	2528
643	4554	2517
644	4554	2506
645	4555	2496
646	4555	2485
647	4556	2475
648	4557	2464
649	4557	2454
650	4558	2443
651	4559	2433
652	4559	2422
653	4560	2412
654	4560	2402
655	4561	2392
656	4562	2381
657	4562	2371
658	4563	2361
659	4563	2351
660	4564	2340
661	4565	2330
662	4566	2320
663	4566	2310
664	4567	2300
665	4567	2290
666	4568	2280
667	4569	2270
668	4569	2261
669	4570	2251
670	4571	2241
671	4571	2231
672	4572	2221
673	4572	2211
674	4573	2202
675	4574	2192
676	4574	2182
677	4575	2172
678	4575	2163
679	4576	2153
680	4577	2144
681	4577	2134
682	4578	2124
683	4578	2115
684	4582	2107
685	4585	2098
686	4587	2090
687	4589	2081
688	4592	2072
689	4595	2064
690	4597	2056
691	4600	2047
692	4602	2039
693	4605	2030
694	4607	2022
695	4610	2013
696	4611	2004
697	4612	1995
698	4613	1986
699	4614	1977
700	4616	1968
701	4617	1960
702	4618	1951
703	4619	1942
704	4620	1933
705	4622	1924
706	4623	1916
707	4624	1907
708	4625	1898
709	4627	1889
710	4628	1881
711	4629	1872
712	4630	1863
713	4631	1855
714	4632	1846
715	4633	1837
716	4634	1829
717	4635	1820
718	4636	1811
719	4637	1803
720	4638	1794
721	4639	1786
722	4640	1777
723	4641	1769
724	4641	1760
725	4642	1752
726	4643	1743
727	4643	1735
728	4644	1726
729	4645	1718
730	4646	1709
731	4646	1701
732	4647	1692
733	4647	1684
734	4648	1675
735	4649	1667
736	4649	1659
737	4650	1650
738	4650	1642
739	4651	1634
740	4652	1626
741	4652	1617
742	4653	1609
743	4653	1601
744	4654	1593
745	4655	1584
746	4655	1576
747	4656	1568
748	4657	1560
749	4657	1552
750	4658	1544
751	4659	1536
752	4660	1528
753	4660	1520
754	4661	1512
755	4661	1504
756	4662	1496
757	4663	1488
758	4663	1480
759	4664	1472
760	4665	1465
761	4665	1457
762	4666	1449
763	4666	1441
764	4667	1433
765	4668	1426
766	4668	1418
767	4669	1410
768	4669	1402
769	4670	1395
770	4671	1387
771	4672	1379
772	4672	1372
773	4673	1364
774	4674	1356
775	4674	1349
776	4675	1341
777	4675	1334
778	4676	1326
779	4677	1319
780	4677	1311
781	4678	1304
782	4679	1296
783	4679	1289
784	4680	1281
785	4680	1274
786	4681	1267
787	4682	1259
788	4682	1252
789	4683	1244
790	4683	1237
791	4684	1230
792	4685	1222
793	4685	1215
794	4686	1208
795	4687	1201
796	4687	1194
797	4688	1186
798	4689	1179
799	4689	1172
800	4690	1165
801	4690	1158
802	4691	1150
803	4692	1143
804	4692	1136
805	4693	1129
806	4694	1122
807	4694	1115
808	4695	1108
809	4695	1101
810	4696	1094
811	4697	1087
812	4697	1080
813	4698	1073
814	4698	1066
815	4699	1059
816	4700	1052
817	4700	1045
818	4701	1039
819	4702	1032
820	4702	1025
821	4703	1018
822	4704	1011
823	4704	1004
824	4705	998
825	4705	991
826	4706	984
827	4707	977
828	4707	971
829	4708	964
830	4709	957
831	4709	951
832	4710	944
833	4711	937
834	4711	931
835	4712	924
836	4712	917
837	4713	911
838	4714	904
839	4714	898
840	4715	891
841	4715	884
842	4716	878
843	4717	871
844	4718	865
845	4718	858
846	4719	852
847	4719	846
848	4720	839
849	4721	833
850	4721	826
851	4722	820
852	4722	813
853	4723	807
854	4724	801
855	4724	794
856	4725	788
857	4726	782
858	4726	775
859	4727	769
860	4727	763
861	4728	756
862	4729	750
863	4729	744
864	4730	738
865	4730	732
866	4731	725
867	4732	719
868	4733	713
869	4733	707
870	4734	701
871	4734	695
872	4735	688
873	4736	682
874	4736	676
875	4737	670
876	4738	664
877	4738	658
878	4739	652
879	4739	646
880	4740	640
881	4741	634
882	4741	628
883	4742	622
884	4742	616
885	4743	610
886	4744	604
887	4744	598
888	4745	592
889	4745	586
890	4746	580
891	4747	574
892	4747	568
893	4748	563
894	4749	557
895	4749	551
896	4750	545
897	4751	539
898	4751	533
899	4752	528
900	4753	522
901	4753	516
902	4754	510
903	4754	504
904	4755	499
905	4756	493
906	4756	487
907	4757	482
908	4758	476
909	4758	470
910	4759	464
911	4759	459
912	4760	453
913	4761	447
914	4761	442
915	4762	436
916	4763	431
917	4763	425
918	4764	419
919	4765	414
920	4765	408
921	4766	403
922	4767	397
923	4767	392
924	4768	386
925	4768	381
926	4769	375
927	4770	370
928	4770	364
929	4771	359
930	4771	353
931	4772	348
932	4773	342
933	4773	337
934	4774	331
935	4775	326
936	4775	321
937	4776	315
938	4776	310
939	4777	304
940	4778	299
941	4779	294
942	4779	288
943	4780	283
944	4780	278
945	4781	272
946	4782	267
947	4782	262
948	4783	257
949	4784	251
950	4784	246
951	4785	241
952	4785	236
953	4786	230
954	4787	225
955	4787	220
956	4788	215
957	4788	209
958	4789	204
959	4790	199
960	4790	194
961	4791	189
962	4792	184
963	4792	178
964	4793	173
965	4794	168
966	4794	163
967	4795	158
968	4795	153
969	4796	148
970	4797	143
971	4797	138
972	4798	133
973	4799	128
974	4799	123
975	4800	118
976	4800	113
977	4801	108
978	4801	103
979	4802	98
980	4803	93
981	4803	88
982	4804	83
983	4805	78
984	4805	73
985	4806	68
986	4807	63
987	4807	58
988	4808	53
989	4809	48
990	4809	43
991	4810	38
992	4811	33
993	4811	29
994	4812	24
995	4812	19
996	4813	14
997	4814	9
998	4814	4
999	4815	0
